TagName,Protocol,IP,DataType,DbNumber,StartAddress,Length,Bit,MesName,MesDataType,LowerLimit,UpperLimit,IsChecked,IsUpload
StartSignal,SIEMENSS7,172.16.21.2,BIT,200,600,1,0,StartSignal,BOOLEAN,100,100,False,False
SFC1是否启用,SIEMENSS7,172.16.21.2,BIT,200,600,1,1,SFC1是否启用,BOOLEAN,100,100,False,False
SFC2是否启用,SIEMENSS7,172.16.21.2,BIT,200,600,1,2,SFC2是否启用,BOOLEAN,100,100,False,False
SFC3是否启用,SIEMENSS7,172.16.21.2,BIT,200,600,1,3,SFC3是否启用,BOOLEAN,100,500,False,False
SFC4是否启用,SIEMENSS7,172.16.21.2,BIT,200,600,1,4,SFC4是否启用,BOOLEAN,100,500,False,False
SFC5是否启用,SIEMENSS7,172.16.21.2,BIT,200,600,1,5,SFC5是否启用,BOOLEAN,100,500,False,False
SFC6是否启用,SIEMENSS7,172.16.21.2,BIT,200,600,1,6,SFC6是否启用,BOOLEAN,100,500,False,False
SFC7是否启用,SIEMENSS7,172.16.21.2,BIT,200,600,1,7,SFC7是否启用,BOOLEAN,100,500,False,False
SFC8是否启用,SIEMENSS7,172.16.21.2,BIT,200,601,1,0,SFC8是否启用,BOOLEAN,100,500,False,False
SFC9是否启用,SIEMENSS7,172.16.21.2,BIT,200,601,1,1,SFC9是否启用,BOOLEAN,100,500,False,False
SFC10是否启用,SIEMENSS7,172.16.21.2,BIT,200,601,1,2,SFC10是否启用,BOOLEAN,100,500,False,False
是否出站,SIEMENSS7,172.16.21.2,BIT,200,602,1,0,是否出站,BOOLEAN,100,500,False,False
PackCode,SIEMENSS7,172.16.21.2,STRING,200,628,24,0,PackCode,TEXT,100,500,False,False
SFC1,SIEMENSS7,172.16.21.2,STRING,200,654,24,0,SFC1,TEXT,100,500,False,False
SFC2,SIEMENSS7,172.16.21.2,STRING,200,680,24,0,SFC2,TEXT,100,500,False,False
SFC3,SIEMENSS7,172.16.21.2,STRING,200,706,24,0,SFC3,TEXT,100,500,False,False
SFC4,SIEMENSS7,172.16.21.2,STRING,200,732,24,0,SFC4,TEXT,100,500,False,False
SFC5,SIEMENSS7,172.16.21.2,STRING,200,758,24,0,SFC5,TEXT,100,500,False,False
SFC6,SIEMENSS7,172.16.21.2,STRING,200,784,24,0,SFC6,TEXT,100,500,False,False
SFC7,SIEMENSS7,172.16.21.2,STRING,200,810,24,0,SFC7,TEXT,100,500,False,False
SFC8,SIEMENSS7,172.16.21.2,STRING,200,836,24,0,SFC8,TEXT,100,500,False,False
SFC9,SIEMENSS7,172.16.21.2,STRING,200,862,24,0,SFC9,TEXT,100,500,False,False
SFC10,SIEMENSS7,172.16.21.2,STRING,200,888,24,0,SFC10,TEXT,100,500,False,False
模组夹紧力1,SIEMENSS7,172.16.21.2,FLOAT,200,914,4,0,模组夹紧力1,NUMBER,100,500,False,False
模组夹紧力2,SIEMENSS7,172.16.21.2,FLOAT,200,918,4,0,模组夹紧力2,NUMBER,100,500,False,False
模组夹紧力3,SIEMENSS7,172.16.21.2,FLOAT,200,922,4,0,模组夹紧力3,NUMBER,100,500,False,False
模组夹紧力4,SIEMENSS7,172.16.21.2,FLOAT,200,926,4,0,模组夹紧力4,NUMBER,100,500,False,False
模组夹紧力5,SIEMENSS7,172.16.21.2,FLOAT,200,930,4,0,模组夹紧力5,NUMBER,100,500,False,False
模组夹紧力6,SIEMENSS7,172.16.21.2,FLOAT,200,934,4,0,模组夹紧力6,NUMBER,100,500,False,False
模组夹紧力7,SIEMENSS7,172.16.21.2,FLOAT,200,938,4,0,模组夹紧力7,NUMBER,100,500,False,False
模组夹紧力8,SIEMENSS7,172.16.21.2,FLOAT,200,942,4,0,模组夹紧力8,NUMBER,100,500,False,False
模组夹紧力9,SIEMENSS7,172.16.21.2,FLOAT,200,946,4,0,模组夹紧力9,NUMBER,100,500,False,False
模组夹紧力10,SIEMENSS7,172.16.21.2,FLOAT,200,950,4,0,模组夹紧力10,NUMBER,100,500,False,False
模组夹紧力11,SIEMENSS7,172.16.21.2,FLOAT,200,954,4,0,模组夹紧力11,NUMBER,100,500,False,False
模组夹紧力12,SIEMENSS7,172.16.21.2,FLOAT,200,958,4,0,模组夹紧力12,NUMBER,100,500,False,False
模组夹紧力13,SIEMENSS7,172.16.21.2,FLOAT,200,962,4,0,模组夹紧力13,NUMBER,100,500,False,False
模组夹紧力14,SIEMENSS7,172.16.21.2,FLOAT,200,966,4,0,模组夹紧力14,NUMBER,100,500,False,False
模组夹紧力15,SIEMENSS7,172.16.21.2,FLOAT,200,970,4,0,模组夹紧力15,NUMBER,100,500,False,False
模组夹紧力16,SIEMENSS7,172.16.21.2,FLOAT,200,974,4,0,模组夹紧力16,NUMBER,100,500,False,False
模组夹紧力17,SIEMENSS7,172.16.21.2,FLOAT,200,978,4,0,模组夹紧力17,NUMBER,100,500,False,False
模组夹紧力18,SIEMENSS7,172.16.21.2,FLOAT,200,982,4,0,模组夹紧力18,NUMBER,100,500,False,False
模组夹紧力19,SIEMENSS7,172.16.21.2,FLOAT,200,986,4,0,模组夹紧力19,NUMBER,100,500,False,False
模组夹紧力20,SIEMENSS7,172.16.21.2,FLOAT,200,990,4,0,模组夹紧力20,NUMBER,100,500,False,False
模组下压保压时间1,SIEMENSS7,172.16.21.2,FLOAT,200,994,4,0,模组下压保压时间1,NUMBER,100,500,False,False
模组下压保压时间2,SIEMENSS7,172.16.21.2,FLOAT,200,998,4,0,模组下压保压时间2,NUMBER,100,500,False,False
模组下压保压时间3,SIEMENSS7,172.16.21.2,FLOAT,200,1002,4,0,模组下压保压时间3,NUMBER,100,500,False,False
模组下压保压时间4,SIEMENSS7,172.16.21.2,FLOAT,200,1006,4,0,模组下压保压时间4,NUMBER,100,500,False,False
模组下压保压时间5,SIEMENSS7,172.16.21.2,FLOAT,200,1010,4,0,模组下压保压时间5,NUMBER,100,500,False,False
模组下压保压时间6,SIEMENSS7,172.16.21.2,FLOAT,200,1014,4,0,模组下压保压时间6,NUMBER,100,500,False,False
模组下压保压时间7,SIEMENSS7,172.16.21.2,FLOAT,200,1018,4,0,模组下压保压时间7,NUMBER,100,500,False,False
模组下压保压时间8,SIEMENSS7,172.16.21.2,FLOAT,200,1022,4,0,模组下压保压时间8,NUMBER,100,500,False,False
模组下压保压时间9,SIEMENSS7,172.16.21.2,FLOAT,200,1026,4,0,模组下压保压时间9,NUMBER,100,500,False,False
模组下压保压时间10,SIEMENSS7,172.16.21.2,FLOAT,200,1030,4,0,模组下压保压时间10,NUMBER,100,500,False,False
模组下压压力1,SIEMENSS7,172.16.21.2,FLOAT,200,1034,4,0,模组下压压力1,NUMBER,100,500,False,False
模组下压压力2,SIEMENSS7,172.16.21.2,FLOAT,200,1038,4,0,模组下压压力2,NUMBER,100,500,False,False
模组下压压力3,SIEMENSS7,172.16.21.2,FLOAT,200,1042,4,0,模组下压压力3,NUMBER,100,500,False,False
模组下压压力4,SIEMENSS7,172.16.21.2,FLOAT,200,1046,4,0,模组下压压力4,NUMBER,100,500,False,False
模组下压压力5,SIEMENSS7,172.16.21.2,FLOAT,200,1050,4,0,模组下压压力5,NUMBER,100,500,False,False
模组下压压力6,SIEMENSS7,172.16.21.2,FLOAT,200,1054,4,0,模组下压压力6,NUMBER,100,500,False,False
模组下压压力7,SIEMENSS7,172.16.21.2,FLOAT,200,1058,4,0,模组下压压力7,NUMBER,100,500,False,False
模组下压压力8,SIEMENSS7,172.16.21.2,FLOAT,200,1062,4,0,模组下压压力8,NUMBER,100,500,False,False
模组下压压力9,SIEMENSS7,172.16.21.2,FLOAT,200,1066,4,0,模组下压压力9,NUMBER,100,500,False,False
模组下压压力10,SIEMENSS7,172.16.21.2,FLOAT,200,1070,4,0,模组下压压力10,NUMBER,100,500,False,False
模组长度1,SIEMENSS7,172.16.21.2,FLOAT,200,1074,4,0,模组长度1,NUMBER,100,500,False,False
模组长度2,SIEMENSS7,172.16.21.2,FLOAT,200,1078,4,0,模组长度2,NUMBER,100,500,False,False
模组长度3,SIEMENSS7,172.16.21.2,FLOAT,200,1082,4,0,模组长度3,NUMBER,100,500,False,False
模组长度4,SIEMENSS7,172.16.21.2,FLOAT,200,1086,4,0,模组长度4,NUMBER,100,500,False,False
模组长度5,SIEMENSS7,172.16.21.2,FLOAT,200,1090,4,0,模组长度5,NUMBER,100,500,False,False
模组长度6,SIEMENSS7,172.16.21.2,FLOAT,200,1094,4,0,模组长度6,NUMBER,100,500,False,False
模组长度7,SIEMENSS7,172.16.21.2,FLOAT,200,1098,4,0,模组长度7,NUMBER,100,500,False,False
模组长度8,SIEMENSS7,172.16.21.2,FLOAT,200,1102,4,0,模组长度8,NUMBER,100,500,False,False
模组长度9,SIEMENSS7,172.16.21.2,FLOAT,200,1106,4,0,模组长度9,NUMBER,100,500,False,False
模组长度10,SIEMENSS7,172.16.21.2,FLOAT,200,1110,4,0,模组长度10,NUMBER,100,500,False,False
下压行程1,SIEMENSS7,172.16.21.2,FLOAT,200,1114,4,0,下压行程1,NUMBER,100,500,False,False
下压行程2,SIEMENSS7,172.16.21.2,FLOAT,200,1118,4,0,下压行程2,NUMBER,100,500,False,False
下压行程3,SIEMENSS7,172.16.21.2,FLOAT,200,1122,4,0,下压行程3,NUMBER,100,500,False,False
下压行程4,SIEMENSS7,172.16.21.2,FLOAT,200,1126,4,0,下压行程4,NUMBER,100,500,False,False
下压行程5,SIEMENSS7,172.16.21.2,FLOAT,200,1130,4,0,下压行程5,NUMBER,100,500,False,False
下压行程6,SIEMENSS7,172.16.21.2,FLOAT,200,1134,4,0,下压行程6,NUMBER,100,500,False,False
下压行程7,SIEMENSS7,172.16.21.2,FLOAT,200,1138,4,0,下压行程7,NUMBER,100,500,False,False
下压行程8,SIEMENSS7,172.16.21.2,FLOAT,200,1142,4,0,下压行程8,NUMBER,100,500,False,False
下压行程9,SIEMENSS7,172.16.21.2,FLOAT,200,1146,4,0,下压行程9,NUMBER,100,500,False,False
下压行程10,SIEMENSS7,172.16.21.2,FLOAT,200,1150,4,0,下压行程10,NUMBER,100,500,False,False
FinishSignal,SIEMENSS7,172.16.21.2,BIT,200,3600,1,0,FinishSignal,BOOLEAN,100,500,False,False
ResCode,SIEMENSS7,172.16.21.2,SHORT,200,3602,2,0,ResCode,NUMBER,100,500,False,False
